SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(OC)[C@@]1(NC(=O)C2=C(C)C(=O)c3c(O2)cccc3)C(C)(C)[C@H](OCC)C1;Z4094031869;8;2.46;387.43
O=C(N1C2([C@H](O)[C@H](O)C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z4026881023;13;0.69;329.35
O=C(NCC(O)COc1cc2c(NC(=O)CC2)cc1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z846268722;16;2.99;498.53
O=C(NCCC1C2CC(C1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____2081372____16808382;17;3.05;341.41
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2C(C1)CCC(N(C)C)C2;Z3176691424;18;1.42;355.44
O=C(N1CCN([C@H]2[C@@H]3C[C@H](C2)CC3)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907478285;21;2.16;382.46
O=C(Nc1cc2C(=O)C=COc2cc1)N1CCC(c2c(OC)cccc2)CCC1;Z3176690792;22;2.89;392.45
O=C(N1C2(c3sccc3)C(CC1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992774833;22;3.29;381.45
O=C(CO)N1C2CC(CNC(=O)C=3Oc4c(C(=O)C=3)cccc4)(OC2)C1;m_275592____15865162____14135622____15855972;24;-0.68;358.35
O=C(COc1cc2OC=C(c3ccc(OC)cc3)C(=O)c2cc1)N1C(C2CC2)COCC1;Z1607287591;25;2.55;435.48
