SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1[C@@H](CN)C[C@@H](O)C1;Z4029812725;8;1.72;355.46
F[C@@H]1CN(C(=O)CN2c3c(Sc4c2cccc4)cccc3)[C@H](C(=O)OC)C1;Z2711594845;11;3.22;386.45
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1[C@@H]2[C@@H](O)[C@@H](O)[C@H](C1)C2;Z3609667521;12;2.00;368.46
O=C(NCC[C@H]1[C@H](O)COC1)CN1c2c(Sc3c1cccc3)cccc2;Z3907066637;12;2.53;370.47
S(C)c1cc2N(C(=O)COC(=O)C3N(C(=O)C(C)C)CCC3)c3c(Sc2cc1)cccc3;Z967837264;12;4.32;470.61
O=C(COC(=O)C1(CC(=O)N2CCOCC2)CCCC1)N1c2c(Sc3c1cccc3)cccc2;Z76797778;12;2.93;480.58
O=C(COC(=O)C1N(CCC(C)C)CCC1)N1c2c(Sc3c1cccc3)cccc2;Z1254056653;14;5.03;424.57
O=C(C(OC(=O)C1N(C(=O)CCC)CCC1)C)N1c2c(Sc3c1cccc3)cccc2;Z1303776195;14;4.23;438.55
O=C(NC1CC2(S(=O)(=O)CC1)CC(C(=O)O)C2)CN1c2c(Sc3c1cccc3)cccc2;Z3278712705;15;2.79;472.59
O=C(OC(C(=O)N1c2c(Sc3c1cccc3)cccc2)C)C(O)Cc1ccc(OC)cc1;Z1478856812;20;4.47;449.53
