SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O(C)C1C2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC3C2CC1C3;Z2094319551;15;-0.88;403.44
FC(F)(F)c1nc(NCC2(O)c3c(cc(OC)cc3)CC2)nc2[nH]cnc12;Z3831246111;15;1.88;379.34
Clc1c(OC)cc2c(c1)CN(c1ncnc3n([C@H]4[C@H](O)[C@H](O)[C@@H](CO)O4)cnc13)CC2;Z2218181853;18;0.58;447.88
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(NC(CCN4CCCCCC4)(C)C)c3nc2)O1;Z2092507517;18;0.60;434.54
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(Nc4ccc(N5C6CC(C5)CC6)cc4)c3nc2)O1;Z2092928600;19;0.68;438.49
O=C(Cn1c2ncnc(N)c2nc1)N1CCC(c2onc(-c3c(OC)cccc3)n2)CC1;Z1870872196;19;0.59;434.46
Clc1nc(N2CC3(Oc4c(C(=O)C3)cccc4)CCC2)c2ncn(C)c2n1;Z3718907270;20;2.93;383.84
Fc1c(OC)ccc(C(=O)CCC(=O)NCC2OCCN(c3ncnc4[nH]cnc34)C2)c1;Z1451077125;21;0.15;442.45
Fc1cc2OC(C(=O)N3CCN(c4ncnc5[nH]cnc45)CCC3)CCc2cc1;Z2331867981;21;1.31;396.43
O=C(N1c2c(CC)cccc2CC1)[C@H]1O[C@@H](Cn2c3ncnc(N)c3nc2)CC1;Z2767297935;22;1.98;392.46
S(CCC(=O)NCC1Oc2c(cc(F)cc2)CC1)c1ncnc2[nH]cnc12;Z3642833622;23;1.79;387.44
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(NCCN4C(C)CCc5c4cccc5)c3nc2)O1;Z2089350714;23;0.34;440.50
S(CCC(=O)N[C@H]1[C@]2(c3c(OCC2)cccc3)C1)c1ncnc2[nH]cnc12;Z3716548323;25;1.39;381.46
O=C(OC)[C@H]1[C@H](c2ccc(O)cc2)CN(c2n(C)c3C(=O)NC(=O)N(C)c3n2)C1;Z2272917983;26;0.27;399.41
S(CCC(=O)N1c2c(c(OC)cc(OC)c2)CCC1)c1ncnc2[nH]cnc12;Z2802414376;26;1.74;399.48
O=C(Nc1c(C(=O)N2CCCCC2)cc(OC)c(OC)c1)Cn1c2ncnc(N)c2nc1;Z1324954000;27;0.62;439.48
O=C(N(Cc1c(OC)ccc2c1cccc2)C1CCCC1)CCn1c2C(=O)N(C)C(=O)N(C)c2nc1;Z1090692042;27;3.31;489.58
O=C(Nc1cc2c(N(CC3CCC3)C(=O)CC2)cc1)Cn1c2ncnc(N)c2nc1;Z1748340387;28;1.07;405.46
S(CCC(=O)N1CC2(Oc3c(cccc3)C1)CCC2)c1ncnc2[nH]cnc12;Z2926921480;29;2.31;395.49
O(C)c1c(CN(CC2CCC2)c2ncnc3nc[nH]c23)ccc(OC)c1;s_27____9867090____16914180;29;2.66;353.43
