SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
FC(F)(F)c1nc(N2[C@@H]([C@H](O)CC2)c2c(OC)cccc2)nc2[nH]cnc12;Z3394231043;10;1.91;379.34
O=C1N(C)C(=O)c2nc(CN3C(CCc4ccccc4)C(O)CCC3)[nH]c2N1C;Z2438167441;13;1.32;397.48
O=C(NCCO)[C@@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC(C)C;Z2612164244;14;1.46;383.46
S(CCC(O)C(=O)NCC(Nc1ncnc2nc[nH]c12)C1CC1)C;m_274310____14112692____15941492____12649998;15;-0.11;350.45
O=C(N1CC(O)CN(c2ncnc3nc[nH]c23)CC1)C12COC(C1)CC2;m_274310____15937446____15944796____12649998;16;-1.48;358.40
Fc1c(O)ccc(CC(NC(=O)c2ncnc3nc[nH]c23)C(=O)OC)c1;s_22____14174274____12807966;16;0.25;359.32
O(C)c1c(C2CN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC2)cccc1;Z2091255507;17;0.05;427.46
O=C(CN1C(=O)N(CC(C)C)c2ncn(CCOC)c2C1=O)N1C(c2cc(OC)ccc2)CCC1;Z654412188;17;2.39;483.57
O=C(NC1(C(=O)OC)COc2c(cccc2)C1)C(C)n1c2ncnc(N)c2nc1;Z2648334505;18;0.66;396.41
O=C(OC)[C@@H](NC(=O)CNc1ncnc2n(-c3ccccc3)cnc12)CC(C)C;Z2612396856;19;2.38;396.45
