SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
FC1(C(=O)NCC(O)CNc2ncnc3c2[nH]c(C)c3)CCOCC1;m_274310____14112866____14119452____15869892;8;-0.01;351.38
O=C(NC1C2(Nc3ncnc4c3[nH]c(C)c4)CC(C1)CC2)[C@H]1OCCC1;m_274310____15938252____12658218____15869892;8;2.04;355.44
O=C(NC1C(CO)CCN(c2ncnc3c2[nH]c(C)c3)CC1)CCCC;m_274310____15937892____12657890____15869892;12;1.81;359.47
O=C(N1CC(Nc2ncnc3c2[nH]c(C)c3)C1)C12CC(OC)(CC1)CC2;m_274310____15937386____15944430____15869892;12;1.18;355.44
O=C(CC1(OC)CCC1)N1[C@@H]2CN(c3ncnc4c3[nH]c(C)c4)[C@H](C1)C2;m_274310____14112794____12658290____15869892;13;1.42;355.44
O=C(NC1[C@H]2[C@@H]1CN(c1ncnc3c1[nH]c(C)c3)C2)C1ON=C(CC)C1;m_274310____14112724____15942448____15869892;13;0.77;354.41
O=C(N1CC(CCO)N(c2ncnc3c2[nH]c(C)c3)CC1)C1(C)CCC1;m_274310____15937612____14118996____15869892;14;1.07;357.46
O=C(NC1CC2(C(Nc3ncnc4c3[nH]c(C)c4)C2)C1)C(OC)(CC)C;m_274310____15937912____15940328____15869892;18;2.25;357.46
O=C(NCC1(COC)N(c2ncnc3c2[nH]c(C)c3)CCC1)CC1CC1;m_274310____15937468____12185810____15869892;19;1.62;357.46
O=C(CC(COC)C)N1CC2N(c3ncnc4c3[nH]c(C)c4)CC(C1)C2;m_274310____15938238____14120682____15869892;19;1.23;357.46
