SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(NC1C2C(N(c3ncnc4c3[nH]c(C)c4)C1)CCCC2)C1CCC1;m_274310____15938100____12185804____15869892;6;2.59;353.47
O=C(NC(C)C1(O)CN(c2ncnc3c2[nH]c(C)c3)CC1)c1ncoc1;m_274310____15938308____12658046____15869892;7;-0.49;356.39
Brc1[nH]c2c(N3C[C@H](O)C[C@@H](C(=O)OC)C3)nc(Cl)nc2c1;Z4026446329;8;2.09;389.64
S(CC(=O)NCC1C2N(c3ncnc4c3[nH]c(C)c4)CC1CCC2)C;m_274310____15938040____12657824____15869892;8;1.95;359.50
O=C(N[C@H]1[C@@H](Nc2ncnc3c2[nH]c(C)c3)CCCC1)C1OCCOC1;m_274310____15938230____12657916____15869892;9;1.07;359.43
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CC1)c1cc(OC)ccc1;m_274310____14112892____14115580____15869892;10;2.31;351.41
Brc1[nH]c2c(N3C[C@]4(O)[C@@H](C4)CC3)nc(Cl)nc2c1;Z4026364458;10;2.81;343.61
O=C(C(OC)(C)C)N1CC2N(c3ncnc4c3[nH]c(C)c4)C(C1)CCC2;m_274310____14112912____15940296____15869892;11;1.93;357.46
Brc1c2nc(Cl)nc(N3C4C(OC)C5CC4C(C3)C5)c2[nH]c1;Z2613155266;11;3.26;383.68
O=C(CCC(C)C)N1CC2N(c3ncnc4c3[nH]c(C)c4)C(CC1)CC2;m_274310____14112938____12657830____15869892;11;2.98;355.49
