SMILES of Virtual Hit Molecule;Enamine ID;Rank
O(C)c1ccc(C=2C(=O)c3c(c(CCN4C(=O)CC(C(C)(C)C)C4)c(O)cc3)OC=2)cc1;Z1651521127;1
O=C(OC)C1(C2(O)CN(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CCC2)CCC1;Z2964520067;2
O=C(NCC1(O)c2c(cc(OC)cc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3892784844;3
O=C(N1C(C2C(O)(C)CCCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991355122;4
O=C(NCC(O)(C)C1OCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3899416795;5
FC(F)(F)CCC(O)(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC;Z3992739608;6
O=C1C(c2ccccc2)=C(C)Oc2c(CCN3C(=O)CC(C(C)(C)C)C3)c(O)ccc12;Z1651521302;7
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3892774427;8
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)c1ncnc2nc[nH]c12;s_22____16503380____12807966;9
O=C(NC(CO)C1c2c(cccc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888224047;10
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C5C6C(C(C4)CC5)CN(Cc4ccccc4)C6)c3nc2)O1;Z2523961968;11
O=C(NC1CCC(O)(CCCC)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3874127390;12
Fc1c(O)cc(C2CN(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)CCC2)cc1;Z3888946014;13
Fc1cc2OC(C(=O)N3C(C4COCCC4)CC(O)C3)=CC(=O)c2cc1;Z2661917393;14
O=C(N1CC2C(C(=O)OCC)NC(C1)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888810956;15
O=C(N1CC(O)(Cc2onc(C(C)C)n2)CCC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z2653912141;16
