SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(OC)C1(C2(O)CN(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CCC2)CCC1;Z2964520067;1
O=C(N1C(C2C(O)(C)CCCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991355122;2
O=C(NCC(O)(C)C1OCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3899416795;3
O=C(NC1CCC(O)(CCCC)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3874127390;4
Fc1cc2OC(C(=O)N3C(C4COCCC4)CC(O)C3)=CC(=O)c2cc1;Z2661917393;5
O=C(N1CC2C(C(=O)OCC)NC(C1)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888810956;6
Fc1cc2OC(C(=O)NC(C(=O)OC)CC3c4c(cccc4)CCC3)=CC(=O)c2cc1;Z2073983633;7
Fc1cc2OC(C(=O)N3C4CC(O)(Cc5ccccc5)CC3CC4)=CC(=O)c2cc1;Z2184309377;8
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C2C(O)CCC(C)C2)CCC1;Z3176688857;8
Brc1cc2OC(C(=O)N3[C@H]4[C@H](N)[C@@H](C3)C[C@@H]4O)=CC(=O)c2cc1;Z3829861385;8
Fc1cc2OC(C(=O)NC[C@H]3N(C(OC(C)(C)C)=O)C[C@H](O)C3)=CC(=O)c2cc1;Z2083324423;8
O=C(OC)C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)CC1NCCCC1;Z3386297162;8
Clc1cc2OC(C(=O)NC3C(O)(COC)CCOC3)=CC(=O)c2cc1;Z3207493496;9
O=C(NC1C2(CNCCC2)CCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888846233;9
O=C(N1C[C@H]2[C@@H](C1)CC[C@@H](O)C2)c1cc2OC=CC(=O)c2cc1;Z2643562146;10
O=C(NC1C2(C(NCCO)C1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113586____14122416____14147280;11
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)CCC(C4)CC3)Oc2cc1;Z3584997642;12
Fc1cc2OC(C(=O)N3C4(CC(O)C3)CCC4)=CC(=O)c2cc1;Z3628548877;13
Clc1cc2OC(C(=O)NCC(C)(C)C3(O)COCCC3)=CC(=O)c2cc1;Z2647274141;14
Fc1cc2OC(C(=O)NC(C(=O)OC)C3CC(OC)CCC3)=CC(=O)c2cc1;Z2477118450;14
Clc1cc2OC(C(=O)N3[C@@H]4[C@@](CO)(CCC3)CCCC4)=CC(=O)c2cc1;Z3711281072;15
Clc1cc2OC(C(=O)NC(C(O)C3CCCCC3)CO)=CC(=O)c2cc1;Z2915512464;15
Fc1cc2OC(C(=O)N3C4C(O)CCC(C)(C3)C4)=CC(=O)c2cc1;Z3591619525;16
