SMILES of Virtual Hit Molecule;Enamine ID;Rank
O(C)c1ccc(C=2C(=O)c3c(c(CCN4C(=O)CC(C(C)(C)C)C4)c(O)cc3)OC=2)cc1;Z1651521127;1
O=C(OC)C1(C2(O)CN(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CCC2)CCC1;Z2964520067;2
O=C(NCC1(O)c2c(cc(OC)cc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3892784844;3
O=C1C(c2ccccc2)=C(C)Oc2c(CCN3C(=O)CC(C(C)(C)C)C3)c(O)ccc12;Z1651521302;4
O=C(NC(CO)C1c2c(cccc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888224047;5
FC(F)(F)CCC(O)(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC;Z3992739608;6
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3892774427;7
O=C(NCC(O)(C)C1OCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3899416795;8
Fc1c(O)cc(C2CN(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)CCC2)cc1;Z3888946014;8
O=C(N1C(C2C(O)(C)CCCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991355122;9
O=C(N1CC(O)(Cc2onc(C(C)C)n2)CCC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z2653912141;10
O=C(N1[C@@H](CO)C[C@@H](C(C)(C)C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z4095249742;11
O=C(NC1CCC(O)(CCCC)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3874127390;12
O=C(CC(C)C)N1CC(NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CCC1;Z3874170698;13
O=C(C(NC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)C(C)C)N1CCCCC1;Z3876104831;13
O=C(N1CC2C(C(=O)OCC)NC(C1)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888810956;14
