SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(N1C(C2C(O)(C)CCCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991355122;1
Clc1cc2OC(C(=O)N3[C@@H]4[C@@](CO)(CCC3)CCCC4)=CC(=O)c2cc1;Z3711281072;1
Fc1cc2OC(C(=O)N3C4CC(O)(Cc5ccccc5)CC3CC4)=CC(=O)c2cc1;Z2184309377;2
Fc1cc2OC(C(=O)N3C(C4COCCC4)CC(O)C3)=CC(=O)c2cc1;Z2661917393;3
Fc1cc2OC(C(=O)NC(C(=O)OC)CC3c4c(cccc4)CCC3)=CC(=O)c2cc1;Z2073983633;3
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C2C(O)CCC(C)C2)CCC1;Z3176688857;3
Fc1cc2OC(C(=O)N3C[C@@]4(CO)[C@@H](C3)CCCC4)=CC(=O)c2cc1;Z3639515164;3
Fc1cc2OC(C(=O)N[C@]3(C(=O)OC)C(C)(C)[C@H](OCC)C3)=CC(=O)c2cc1;Z4094033893;3
Clc1cc2OC(C(=O)NCC(C)(C)C3(O)COCCC3)=CC(=O)c2cc1;Z2647274141;4
Brc1cc2OC(C(=O)N3[C@H]4[C@H](N)[C@@H](C3)C[C@@H]4O)=CC(=O)c2cc1;Z3829861385;5
Fc1cc2OC(C(=O)NC(C(=O)OC)C3CC(OC)CCC3)=CC(=O)c2cc1;Z2477118450;5
Clc1cc2OC(C(=O)NC3C(O)(COC)CCOC3)=CC(=O)c2cc1;Z3207493496;6
O=C(NC1C2(C(NCCO)C1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113586____14122416____14147280;6
Fc1cc2OC(C(=O)N3C(C)CCC4OC(C(=O)OC)CC34)=CC(=O)c2cc1;Z2077015534;6
O=C(OC)C1(C2(O)CN(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CCC2)CCC1;Z2964520067;7
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)CCC(C4)CC3)Oc2cc1;Z3584997642;7
Clc1cc2OC(C(=O)N3C[C@@]4(F)[C@@](CO)(C3)CCC4)=CC(=O)c2cc1;Z4025236971;7
O=C(NC1C2CC3(O)CC1CC(C3)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3627268901;7
O=C(NCC(O)(C)C1OCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3899416795;8
O=C(NC1CCC(O)(CCCC)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3874127390;8
Fc1cc2OC(C(=O)N3C4(CC(O)C3)CCC4)=CC(=O)c2cc1;Z3628548877;8
Clc1cc2C(=O)C=C(C(=O)N3C4C(CO)C(C3)CCC4)Oc2cc1;Z3611187100;8
O=C(OC)[C@@]1(NC(=O)C2=C(C)C(=O)c3c(O2)cccc3)C(C)(C)[C@H](OCC)C1;Z4094031869;8
O=C(NC1CCC(O)(CCCC)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3611618591;8
O=C(N1CC2C(C(=O)OCC)NC(C1)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888810956;9
Fc1cc2OC(C(=O)NC[C@H]3N(C(OC(C)(C)C)=O)C[C@H](O)C3)=CC(=O)c2cc1;Z2083324423;9
O=C(OC)C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)CC1NCCCC1;Z3386297162;9
Fc1cc2OC(C(=O)N3C4C(O)CCC(C)(C3)C4)=CC(=O)c2cc1;Z3591619525;9
