SMILES of Virtual Hit Molecule;Enamine ID;Rank
Clc1cc2C(=O)C=C(C(=O)NCC3(Cc4ccc(F)cc4)C(O)CCC3)Oc2cc1;Z1867056843;1
O=C(N1C(C2C(O)(C)CCCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991355122;2
Clc1cc2OC(C(=O)N3[C@@H]4[C@@](CO)(CCC3)CCCC4)=CC(=O)c2cc1;Z3711281072;2
Fc1cc2OC(C(=O)N3C4CC(O)(Cc5ccccc5)CC3CC4)=CC(=O)c2cc1;Z2184309377;3
Fc1cc2OC(C(=O)N3C(C4COCCC4)CC(O)C3)=CC(=O)c2cc1;Z2661917393;4
Fc1cc2OC(C(=O)NC(C(=O)OC)CC3c4c(cccc4)CCC3)=CC(=O)c2cc1;Z2073983633;4
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C2C(O)CCC(C)C2)CCC1;Z3176688857;4
Fc1cc2OC(C(=O)N3C[C@@]4(CO)[C@@H](C3)CCCC4)=CC(=O)c2cc1;Z3639515164;4
Fc1cc2OC(C(=O)N[C@]3(C(=O)OC)C(C)(C)[C@H](OCC)C3)=CC(=O)c2cc1;Z4094033893;4
O=C(NCCC1(O)C2CC(C1)CC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3201192963;4
Clc1cc2OC(C(=O)NCC(C)(C)C3(O)COCCC3)=CC(=O)c2cc1;Z2647274141;5
Clc1cc2C(=O)C=C(C(=O)NC3C4(C(OCC)C3)OCCC4)Oc2cc1;Z1675995033;5
Brc1cc2OC(C(=O)N3[C@H]4[C@H](N)[C@@H](C3)C[C@@H]4O)=CC(=O)c2cc1;Z3829861385;6
Fc1cc2OC(C(=O)NC(C(=O)OC)C3CC(OC)CCC3)=CC(=O)c2cc1;Z2477118450;6
Clc1cc2OC(C(=O)NC3C(O)(COC)CCOC3)=CC(=O)c2cc1;Z3207493496;7
O=C(NC1C2(C(NCCO)C1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113586____14122416____14147280;7
Fc1cc2OC(C(=O)N3C(C)CCC4OC(C(=O)OC)CC34)=CC(=O)c2cc1;Z2077015534;7
O=C(OC)C1(C2(O)CN(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CCC2)CCC1;Z2964520067;8
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)CCC(C4)CC3)Oc2cc1;Z3584997642;8
Clc1cc2OC(C(=O)N3C[C@@]4(F)[C@@](CO)(C3)CCC4)=CC(=O)c2cc1;Z4025236971;8
O=C(NC1C2CC3(O)CC1CC(C3)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3627268901;8
Clc1cc2C(=O)C=C(C(=O)NC3(CO)C4CC5CC3CC(C4)C5)Oc2cc1;Z2350122021;8
O=C(O)C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)CCC(C)(C)C;Z3523347127;8
O=C(N)CC1CC2C(CN(C(=O)C3=C(C)C(=O)c4c(O3)cccc4)CC2)CC1;Z3907269012;8
Clc1cc2OC(C(=O)N3CC4C5N(CC4C3)CCCC5)=CC(=O)c2cc1;Z2372210402;8
Fc1cc2OC(C(=O)NCC3OC4(COCCC4)CC3)=CC(=O)c2cc1;Z3592802650;8
O=C(NCC(O)(C)C1OCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3899416795;9
O=C(NC1CCC(O)(CCCC)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3874127390;9
Fc1cc2OC(C(=O)N3C4(CC(O)C3)CCC4)=CC(=O)c2cc1;Z3628548877;9
Clc1cc2C(=O)C=C(C(=O)N3C4C(CO)C(C3)CCC4)Oc2cc1;Z3611187100;9
O=C(OC)[C@@]1(NC(=O)C2=C(C)C(=O)c3c(O2)cccc3)C(C)(C)[C@H](OCC)C1;Z4094031869;9
O=C(NC1CCC(O)(CCCC)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3611618591;9
O=C(N1CC2C(C(=O)OCC)NC(C1)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888810956;10
Fc1cc2OC(C(=O)NC[C@H]3N(C(OC(C)(C)C)=O)C[C@H](O)C3)=CC(=O)c2cc1;Z2083324423;10
O=C(OC)C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)CC1NCCCC1;Z3386297162;10
Fc1cc2OC(C(=O)N3C4C(O)CCC(C)(C3)C4)=CC(=O)c2cc1;Z3591619525;10
Fc1cc2OC(C(=O)N3C4C(O)CCCC3CC4)=CC(=O)c2cc1;Z3605684966;10
O=C(N1CC(C23NCCC2CC3)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3138225322;10
O=C(NC(C(=O)O)C1(OC)CCC1)Nc1cc2C(=O)C=COc2cc1;m_272330____13770678____14729624;10
Clc1cc2OC(C(=O)N3C4(C(=O)OC)COC(C3)C4)=CC(=O)c2cc1;Z3092954332;10
Clc1cc2C(=O)C=C(C(=O)NCC3OC4(CC(C)OC4)CC3)Oc2cc1;Z2876871956;10
O=C(NC1C2(CNCCC2)CCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888846233;11
O=C(N1C[C@H]2[C@@H](C1)CC[C@@H](O)C2)c1cc2OC=CC(=O)c2cc1;Z2643562146;11
