SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCC(O)(C)C1COCCC1)CN1c2c(Sc3c1cccc3)cccc2;Z3868242765;1
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1CC2C(CC(O)CC2)CC1;Z2714205559;2
O=C(NCC1(O)CC(CN)C1)CN1c2c(Sc3c1cccc3)cccc2;Z3796708247;3
O=C(NC1C(O)(C)CCC1)CN1c2c(Sc3c1cccc3)cccc2;s_22____13973594____12216490;4
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C2C(C)C(O)CC1CC2;Z2784651818;5
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1CC(C)(C)CC(O)CC1;Z2714259467;6
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1[C@@H]2[C@@H](O)[C@@H](O)[C@H](C1)C2;Z3609667521;7
O=C(NC1(C(=O)OC)CC(O)C1)CN1c2c(Sc3c1cccc3)cccc2;Z3204064440;7
O=C(NCC12OCCC(CO)(C1)C2)CN1c2c(Sc3c1cccc3)cccc2;Z4077769096;8
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C(C(=O)O)CC(OC)CC1;Z2755453751;8
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C(C(=O)O)(CCO)CCC1;Z4085115090;9
O=C(NC1C2C(O)C(O)C(C1)C2)CN1c2c(Sc3c1cccc3)cccc2;Z4093925064;10
O=C(NCC[C@H]1[C@H](O)COC1)CN1c2c(Sc3c1cccc3)cccc2;Z3907066637;11
O=C(O)CC1CC(CNC(=O)CN2c3c(Sc4c2cccc4)cccc3)OC1;Z3655260264;12
O=C(O)C(NC(=O)CN1c2c(Sc3c1cccc3)cccc2)C1CCOCC1;Z2755460269;13
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C(CO)(C)CC(O)C1;Z2914815326;14
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C2C(CO)CC(C1)CC2;Z2715853582;15
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C[C@]2(C(=O)O)OCC[C@@H]2C1;Z3803100475;16
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1[C@@H](CN)C[C@@H](O)C1;Z4029812725;17
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C2(CC(N)C1)COCC2;Z3520157208;18
O=C(N(CC1(O)CCOCC1)C)CN1c2c(Sc3c1cccc3)cccc2;Z2710637492;18
O=C(COC(=O)C1N(CCC(C)C)CCC1)N1c2c(Sc3c1cccc3)cccc2;Z1254056653;18
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C[C@H](C)[C@H](C(=O)OC)CC1;Z2715691908;19
O=C(NC1C2CC(N)CC1COC2)CN1c2c(Sc3c1cccc3)cccc2;Z2826278503;20
O=C(OC(C(=O)N1c2c(Sc3c1cccc3)cccc2)C)C(NC(=O)C)C1CCCC1;Z269031228;21
