SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NC1C2(C(Nc3ncnc4c3[nH]c(C)c4)C1)CCC2)C(O)COC;m_274310____14113314____15940890____15869892;1
O=C(N1CC(O)(CNc2ncnc3c2[nH]c(C)c3)CCC1)[C@H]1COCC1;m_274310____15938210____14118150____15869892;2
O=C(NCCC1(O)CN(c2ncnc3c2[nH]c(C)c3)C1)C1ON=C(C)C1;m_274310____15937540____15942440____15869892;2
O=C(NC12C(N(c3ncnc4c3[nH]c(C)c4)CC1)CCCCC2)COC;m_274310____15937834____12170228____15869892;3
O=C(NCC1(O)CC(Nc2ncnc3c2[nH]c(C)c3)C1)C1C(C)OCC1;m_274310____15938284____14120552____15869892;4
O=C(N1CC(O)(CNc2ncnc3c2[nH]c(C)c3)C1)C1OC(C)(C)CC1;m_274310____15938070____15941912____15869892;4
O=C(NC(C)C1(O)CN(c2ncnc3c2[nH]c(C)c3)C1)CC1(O)CCC1;m_274310____15937924____12658380____15869892;5
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)C12COC(C1)CC2;m_274310____15937766____15944796____15869892;6
O=C(NC1C2(N(c3ncnc4c3[nH]c(C)c4)CC1)CCC2)CC(O)CC;m_274310____15937660____15941200____15869892;7
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)CCC1COCC1;m_274310____15937766____12658150____15869892;8
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CCC1)C(OC)C1CCC1;m_274310____14113008____14121518____15869892;9
O=C(CC(C)C)N1CC(N(CCO)c2ncnc3c2[nH]c(C)c3)CCC1;m_274310____14113398____12657780____15869892;10
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CCC1)CC1(O)COCC1;m_274310____14113008____15941282____15869892;11
O=C(NCC1N(c2ncnc3c2[nH]c(C)c3)CCC1C)C(O)(C)C1CC1;m_274310____15937876____15940274____15869892;12
O=C(NC1CC(Nc2ncnc3c2[nH]c(C)c3)(C)C1)C(OC)CC(C)C;m_274310____15937822____14119102____15869892;12
O=C(CC1(O)COCC1)N1[C@@H](CNc2ncnc3c2[nH]c(C)c3)CCC1;m_274310____14112828____15941282____15869892;13
O=C(NCC(CNc1ncnc2c1[nH]c(C)c2)C)C1(O)C2CC(C1)CC2;m_274310____14112832____15945086____15869892;14
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)C1CC(OCC)C1;m_274310____15937766____12658346____15869892;14
O=C(NC1C(O)CN(c2ncnc3c2[nH]c(C)c3)CC1)C1C(C)(C)CO1;m_274310____14113432____15939578____15869892;14
O=C(NCC(O)CNc1ncnc2c1[nH]c(C)c2)C1C(C)CC(=O)N1;m_274310____14112866____15942600____15869892;15
O=C(NC1CC2(C(Nc3ncnc4c3[nH]c(C)c4)C2)C1)C(OC)(CC)C;m_274310____15937912____15940328____15869892;16
O=C(NCC(Nc1ncnc2c1[nH]c(C)c2)C1CC1)C1(CO)OCCC1;m_274310____14112692____15941372____15869892;17
O=C(N(CC(O)CN(C)c1ncnc2c1[nH]c(C)c2)C)C1C(CC)(C)C1;m_274310____14113198____14120664____15869892;18
O=C(C(OC)(CC)C)N1C(CNc2ncnc3c2[nH]c(C)c3)CCCC1;m_274310____14112718____15940328____15869892;18
FC(C(=O)N1CCC(O)(CNc2ncnc3c2[nH]c(C)c3)CC1)CC;m_274310____14113060____14118998____15869892;19
O=C(NCC(Nc1ncnc2c1[nH]c(C)c2)C(C)C)C(O)COC;m_274310____14112856____15940890____15869892;20
O=C(NCC1(COC)N(c2ncnc3c2[nH]c(C)c3)CCC1)CC1CC1;m_274310____15937468____12185810____15869892;20
O=C(NCC[C@@H](Nc1ncnc2c1[nH]c(C)c2)C)CC(O)(CCC)C;m_274310____14113064____15944758____15869892;21
O=C(CC1(OC)CCC1)N1[C@@H]2CN(c3ncnc4c3[nH]c(C)c4)[C@H](C1)C2;m_274310____14112794____12658290____15869892;21
O=C([C@@H](O)C(C)C)N1CCC(Nc2ncnc3c2[nH]c(C)c3)(CC)CC1;m_274310____14113030____15940340____15869892;21
O=C(NC1(CO)CN(c2ncnc3c2[nH]c(C)c3)C1)C(C)C1OCCC1;m_274310____15937896____14119122____15869892;22
O=C(NC1C(CO)CCN(c2ncnc3c2[nH]c(C)c3)CC1)CCCC;m_274310____15937892____12657890____15869892;22
O=C(NCC1C(Nc2ncnc3c2[nH]c(C)c3)CCCC1)C(OC)(C)C;m_274310____15937428____15940296____15869892;22
O=C(C(OC)C(C)C)N1CC2C(Nc3ncnc4c3[nH]c(C)c4)C(C1)C2;m_274310____15937444____14119068____15869892;22
O=C(NC(C(C)C)(CNc1ncnc2c1[nH]c(C)c2)C)C(OC)C1CC1;m_274310____15937366____12658318____15869892;23
O=C(N[C@@H](C)C1CCN(c2ncnc3c2[nH]c(C)c3)CC1)C1(O)COC1;m_274310____14113208____15939740____15869892;24
O=C(NCC1N(c2ncnc3c2[nH]c(C)c3)CC2(C1)CC2)C1OCCC1;m_274310____15937906____12657822____15869892;24
O=C(NC(CNc1ncnc2c1[nH]c(C)c2)C1CC1)CC1(OC)CCC1;m_274310____14112886____12658290____15869892;25
O=C(NCC1N(c2ncnc3c2[nH]c(C)c3)C2C(C1)COC2)CCCC;m_274310____15937864____12657890____15869892;25
O=C(NC(CC(Nc1ncnc2c1[nH]c(C)c2)C)C)C(OC)(C)C1CC1;m_274310____14113248____15940966____15869892;25
O=C(N1C2CC(N(C)c3ncnc4c3[nH]c(C)c4)CC1CC2)C1(O)CC1;m_274310____15937952____15941446____15869892;26
