SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)c1ncnc2nc[nH]c12;s_22____16503380____12807966;1
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C5C6C(C(C4)CC5)CN(Cc4ccccc4)C6)c3nc2)O1;Z2523961968;2
O=C(NCC1OCCN(c2ncnc3[nH]cnc23)C1)C1(c2cc(OC)ccc2)CCCC1;Z1451076360;3
O=C(N([C@@H](C(C)C)CO)Cc1ccc(OC)cc1)CCc1[nH]c2C(=O)NC(=O)N(C)c2n1;Z1680917029;4
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC5(c6c(ccc(O)c6)C4)CC5)c3nc2)O1;Z2186044869;5
O(C)c1cc(CC2CCN(c3nc4n(C)cnc4cn3)CC2)c(O)cc1;Z4027520253;6
O(CCn1c(CNC2c3c(c(O)ccc3)CCC2)nc2N(CCC)C(=O)NC(=O)c12)C;Z1845591670;7
Clc1nc(N2CCC(O)(Cc3c(OC)cccc3)CC2)c2ncn(C)c2n1;Z3718884833;7
O=C(N(Cc1cc(OC)c(OC)cc1)C1C(C)CCCC1)Cn1c2ncnc(N)c2nc1;Z1581652431;8
O(C)c1c(CC2(O)CCN(c3nc(O)c4n(C)cnc4n3)CC2)cccc1;Z3718884828;8
O=C(C(C)n1c2ncnc(N)c2nc1)N1[C@H](c2c(OC)cccc2)C[C@H](C)CC1;Z2719771317;9
Fc1c(CC2(O)CC3N(C(=O)Cn4c5ncnc(N)c5nc4)C(C2)CC3)ccc(F)c1;Z1550782188;10
O=C(CCn1c2ncnc(N)c2nc1)N1C(c2c(OC)cccc2)CCC(C)C1;Z2639128025;11
Oc1nc(N2CCC(CCc3ccc(O)cc3)CC2)nc2ncn(C)c12;s_27____215745____15341790;12
O(C)c1c(OC)ccc(CCC2N(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCCC2)c1;Z1579636392;13
O(C)c1c([C@H]2N(CCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC[C@H]2O)cccc1;Z3319497698;13
O=C(NCC1(O)CC(Nc2nc3nc[nH]c3cn2)C1)C(CCOC)C;m_274310____15938284____14119722____15870074;13
O=C(N(Cc1ccccc1)CC1(O)CCCC1)CCn1c2ncnc(N)c2nc1;Z2633641726;14
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CC1(OC)CCC1;m_274310____14112866____12658290____15870074;15
OC1CN(c2ncnc3n(-c4ccccc4)cnc23)C(C2COCCC2)C1;Z2613402802;15
OC1CN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C(C2COCCC2)C1;Z2613402978;15
Clc1ccc(CC2(O)CN(C(=O)CCSc3ncnc4[nH]cnc34)CC2)cc1;Z4053439943;16
O=C(NC(CO)C1CC(OC)CCC1)C(C)n1c2ncnc(N)c2nc1;Z2643662773;16
O=C(N1CCC(C(=O)OCc2n(C)c3C(=O)NC(=O)N(C)c3n2)CC1)c1c(O)ccc(C)c1;Z847468834;17
Fc1c(CC2(O)CC3N(C(=O)CN(C)c4ncnc5nc[nH]c45)C(C2)CC3)ccc(F)c1;Z1550781850;17
O(C)c1ccc(C(O)C2N(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCC2)cc1;Z1579784710;18
O=C(N(CCn1c2ncnc(N)c2nc1)C)C1c2c(ccc(OC)c2)CCC1;Z2844353740;18
O=C(NCC1(O)C(C)(C)C(OCC)C1)CCn1c2ncnc(N)c2nc1;Z2637129154;19
O=C1N(C)c2[nH]c(N3CC4(Oc5c(cccc5)CC4)CCC3)nc2C(=O)N1;Z3559334788;20
O(C)c1c(OC)ccc(CCC2N(c3ncnc4n(C)cnc34)CCCC2)c1;Z1343343974;20
Fc1c(OC)ccc(C(=O)CCC(=O)NCC2OCCN(c3ncnc4[nH]cnc34)C2)c1;Z1451077125;21
O=C(N(CCCn1c2ncnc(N)c2nc1)C)C1C(C)(c2c(OC)cccc2)C1;Z2801706050;21
O=C(NCC(O)CNc1ncnc2nc[nH]c12)CC1(COC)CC1;m_274310____14112866____12658402____12649998;22
FC(F)(F)c1nc(N2CCC(C(O)c3ccc(OC)cc3)CC2)c2nc[nH]c2n1;Z2185939566;23
O(C)C1C2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC3C2CC1C3;Z2094319551;23
O(C)c1cc(OC)cc(CCC2CCN(c3ncnc4n(C)cnc34)CC2)c1;Z1172342004;23
S(CCC(=O)N(C(CCc1ccc(O)cc1)C)C)c1ncnc2[nH]cnc12;Z3603722444;24
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC(CCc5ccccc5)(C)CC4)c3nc2)O1;Z2091630677;24
O=C(OC)[C@H]1[C@H](c2ccc(O)cc2)CN(c2n(C)c3C(=O)NC(=O)N(C)c3n2)C1;Z2272917983;25
O=C(NC1(CNc2nc3nc[nH]c3cn2)CCCC1)C(O)COC;m_274310____14112810____15940890____15870074;25
O=C(C)N1CC(O)(CNc2nc(C(=O)OC)c3nc[nH]c3n2)CCC1;m_274310____15938210____12185798____15870962;25
O=C(C(C)n1c2ncnc(N)c2nc1)N1c2c(cc(OC)cc2)CC(C(C)C)C1;Z2641753037;26
O(C)c1cc2c(C(CNc3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CCC2)cc1;Z2092430059;26
S(CCC(=O)NC1c2c(cc(OC)cc2)CCC1)c1ncnc2[nH]cnc12;Z2796439078;27
O=C(N1CCC(C(=O)c2ccc(O)cc2)CC1)c1ncnc2nc[nH]c12;s_22____7104936____12807966;28
O=C(N(Cc1ccc(O)cc1)CC1N(CC)CCC1)CN(C)c1ncnc2nc[nH]c12;Z1560342799;29
O=C(NC1CCN(c2ncnc3n(C)cnc23)CC1)Cc1ccc(O)cc1;Z1232675159;29
O(C)c1ccc(C2C(C)CCN(c3nc(O)c4n(C)cnc4n3)C2)cc1;s_27____16893182____15341790;30
O=C(NCC1N(Cc2ccc(OC)cc2)CC1)CCn1c2ncnc(N)c2nc1;Z2718545664;30
O=C(N(C(C)C1CC1)Cc1ccc(OC)cc1)CCCn1c2C(=O)N(C)C(=O)N(C)c2nc1;Z297090896;30
