SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NC1[C@H]2[C@@H]1CN(c1nc3nc[nH]c3cn1)C2)C1(O)C2CC(C1)CC2;m_274310____14112724____15945086____15870074;1
Fc1c(CC2(O)CC3N(C(=O)Cn4c5ncnc(N)c5nc4)C(C2)CC3)ccc(F)c1;Z1550782188;2
Fc1c(CC2(O)CC3N(C(=O)CN(C)c4ncnc5nc[nH]c45)C(C2)CC3)ccc(F)c1;Z1550781850;2
Fc1c(CC2(O)CC3N(Cc4[nH]c5N(C)C(=O)N(C)C(=O)c5n4)C(C2)CC3)ccc(F)c1;Z1587892847;2
O=C(NCC(Nc1nc2nc[nH]c2cn1)CC)C1(O)C2CC(C1)CC2;m_274310____14112808____15945086____15870074;2
O=C(NC1C(O)CN(c2ncnc3nc[nH]c23)CC1)CC1C2C(C2)CC1;m_274310____14113432____14121256____12649998;3
Fc1c(CC(=O)N2C(C(=O)OCCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC(O)C2)cccc1;Z794108010;4
O=C(C(C)n1c2ncnc(N)c2nc1)N1C(C2COCCC2)CC(O)C1;Z2640873666;4
O=C(NC1C(C)C2N(c3nc4n(C)cnc4cn3)C(C1)CC2)C1(O)CC1;m_274310____15937616____15941446____15871032;4
O(C)c1cc(OC)cc(C2(O)CCN(c3ncnc4n(CC)cnc34)CC2)c1;Z1416577159;5
O(C)c1cc(OC)cc(C2(O)CCN(c3n(C)c4C(=O)NC(=O)N(C)c4n3)CC2)c1;Z1416576816;5
Clc1nc(NC2CC(O)(CNC(=O)C(OC)C)C2)c2[nH]cnc2n1;m_274310____15938284____12657992____15867404;5
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CCC1OC(C)CC1;m_274310____14112866____14119796____15870074;5
Clc1nc(N2CCC(O)(Cc3c(OC)cccc3)CC2)c2ncn(C)c2n1;Z3718884833;6
O=C1N(C)C(=O)c2n(CCN3C4CC(O)(Cc5ccccc5)CC3CC4)cnc2N1C;Z2170056409;6
O=C(N1C2CC(O)(Cc3ccccc3)CC1CC2)c1ncnc2nc[nH]c12;Z3550742181;6
O=C(NC1C2CN(c3nc4ncn(C)c4cn3)C(C2)CC1)C1(O)COC1;m_274310____15937726____15939740____15871096;6
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C5C6C(C(C4)CC5)CN(Cc4ccccc4)C6)c3nc2)O1;Z2523961968;7
O=C(NCC1(O)CC(Nc2nc3nc[nH]c3cn2)C1)C(CCOC)C;m_274310____15938284____14119722____15870074;7
FC(F)(F)c1nc(N2[C@@H]([C@H](O)CC2)c2c(OC)cccc2)nc2[nH]cnc12;Z3394231043;7
FC(F)(F)c1nc(N2C3CC(O)(Cc4ccccc4)CC2CC3)c2nc[nH]c2n1;Z2180015333;7
Clc1nc(N2[C@@H]([C@H](O)CC2)c2c(OC)cccc2)c2n(C)cnc2n1;Z3718928811;7
O=C(NCCn1c2ncnc(N)c2nc1)CC1(O)CN(C(=O)C)CCC1;Z2719726491;8
O=C(NCCC1N(c2nc3nc[nH]c3cn2)CCCC1)C(O)COC;m_274310____15937814____15940890____15870074;8
O=C(NC1C(O)CN(C(=O)C2C3(C2)CC3)CC1)c1ncnc2nc[nH]c12;m_275592____14114572____15843004____14134174;8
O=C(NCC12OCC(Nc3nc4nc[nH]c4cn3)(C1)CC2)C(O)C1CC1;m_274310____15938212____15941824____15870074;8
O=C(NCC12N(c3nc4n(C)cnc4cn3)C(CC1)CC2)C1(O)COC1;m_274310____15937394____15939740____15871032;8
O=C(N1CC(O)(CNc2nc3n(C)cnc3cn2)CCC1)C1C2(C1)CC2;m_274310____15938210____14116668____15871032;8
O=C(N[C@H]1CN(c2nc3nc[nH]c3cn2)CC1)CC1(O)COCCC1;m_274310____14112798____15940692____15870074;8
O=C(NC[C@@H](Nc1nc2nc[nH]c2cn1)CO)CC12CC(C)(OC1)C2;m_274310____15937766____15944340____15870074;8
O=C(NCC1(O)CC(Nc2nc3ncn(C)c3cn2)C1)C1N(CC)CC1;m_274310____15938284____15942610____15871096;8
O=C(NCC1OCCN(c2ncnc3[nH]cnc23)C1)C1(c2cc(OC)ccc2)CCCC1;Z1451076360;9
O(C)c1c(CC2(O)CCN(c3nc(O)c4n(C)cnc4n3)CC2)cccc1;Z3718884828;9
Fc1ccc(CC2(CO)CN(C(=O)C(C)n3c4ncnc(N)c4nc3)CC2)cc1;Z2639566541;9
O=C(N1CCC(O)(CNc2ncnc3nc[nH]c23)CC1)C1[C@H]2[C@@H]1COC2;m_274310____14113060____14119040____12649998;9
O(C)c1c([C@H]2N(CCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC[C@H]2O)cccc1;Z3319497698;10
O=C(NCC1(O)C(C)(C)C(OCC)C1)CCn1c2ncnc(N)c2nc1;Z2637129154;10
O=C1N(C)C(=O)c2nc(CN3C(CCc4ccccc4)C(O)CCC3)[nH]c2N1C;Z2438167441;10
O=C(CCC1CC1)N1CC(O)(CNc2nc3ncn(C)c3cn2)CCC1;m_274310____15938210____12658082____15871096;10
O=C(NC1(C2(O)CCN(c3nc4nc[nH]c4cn3)CC2)CC1)C1CCC1;m_274310____15938318____12185804____15870074;10
O=C(N1CC(O)(CNc2ncnc3nc[nH]c23)C1)C1(C2OCCC2)CC1;m_274310____15938070____15940738____12649998;10
O(C)c1c([C@H]2N(c3nc4n(C)cnc4cn3)CC[C@H]2O)cccc1;Z3830392513;10
OC1CN(c2ncnc3n(-c4ccccc4)cnc23)C(C2COCCC2)C1;Z2613402802;11
OC1CN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C(C2COCCC2)C1;Z2613402978;11
O=C(NCCO)[C@@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC(C)C;Z2612164244;11
OC1CC2C(CN(c3ncnc4n(-c5ccccc5)cnc34)C2)CC1;Z2613649233;11
O=C(NCC(O)CNc1nc2ncn(C)c2cn1)C1ON=C(C2CC2)C1;m_274310____14112866____15945202____15871096;11
O=C1C2(CN(c3ncnc4n(-c5ccccc5)cnc34)C2)CC(O)CN1;Z3077895255;11
O=C(OC)C(NC(=O)C(C)n1c2ncnc(N)c2nc1)CC1COCCC1;Z2719830045;11
Fc1ccc(OCC2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CCC2)cc1;Z2093291650;11
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CC1(OC)CCC1;m_274310____14112866____12658290____15870074;12
O(C)c1cc(CN(CC(C)C)c2ncnc3n([C@H]4[C@H](O)[C@H](O)[C@@H](CO)O4)cnc23)ccc1;Z2090160957;12
O=C(NCC(O)CNc1ncnc2nc[nH]c12)C1CC(CC)OCC1;m_274310____14112866____14120730____12649998;12
O(C)c1cc(OC)cc(CCC2CCN(c3ncnc4n(C)cnc34)CC2)c1;Z1172342004;13
O=C(N1CC(O)CN(c2ncnc3nc[nH]c23)CC1)C12COC(C1)CC2;m_274310____15937446____15944796____12649998;13
OC(CN(CCn1c2ncnc(N)c2nc1)C)C1c2c(cccc2)CCC1;Z3650965158;13
Fc1c(O)ccc(CC(NC(=O)c2ncnc3nc[nH]c23)C(=O)OC)c1;s_22____14174274____12807966;13
O=C1N(C2CC2)C2C(CN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC2)CC1;Z2091964963;13
O=C(CC1C(C)CCO1)N1CC(O)(CNc2nc3nc[nH]c3cn2)C1;m_274310____15938070____15945318____15870074;13
O=C(N1CC(O)(CNc2nc3nc[nH]c3cn2)C1)C1CC2(C1)COCC2;m_274310____15938070____15944934____15870074;13
O=C(NCCC1(CNc2nc3nc[nH]c3cn2)CC1)C(O)(COC)C;m_274310____14113270____15940256____15870074;13
O=C(NC(CO)C1CC(OC)CCC1)C(C)n1c2ncnc(N)c2nc1;Z2643662773;14
O(C)c1c(C2CN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC2)cccc1;Z2091255507;14
O=C(NCC(O)CNc1nc2ncn(C)c2cn1)C1(COC)CCC1;m_274310____14112866____14118856____15871096;14
O=C(OCCn1c2C(=O)N(C)C(=O)N(C)c2nc1)C1(O)CN(Cc2ccccc2)CCC1;Z1304349953;14
O=C(NCC1N(c2ncnc3nc[nH]c23)CCC1C1CC1)C1(O)COC1;m_274310____15938320____15939740____12649998;14
O=C(NCC(O)CNc1ncnc2nc[nH]c12)C1(CC(C)C)COC1;m_274310____14112866____15942300____12649998;14
O=C(NC(C)C1(O)CN(c2nc3nc[nH]c3cn2)C1)C1CC(C)OC1;m_274310____15937924____14121252____15870074;14
O=C(NCC(Nc1cc(OC)ccc1)C(C)(C)C)CCc1[nH]c2C(=O)NC(=O)N(C)c2n1;Z1726350719;14
O=C(C(C)n1c2ncnc(N)c2nc1)N1[C@H](c2c(OC)cccc2)C[C@H](C)CC1;Z2719771317;15
O=C(CCn1c2ncnc(N)c2nc1)N1C(c2c(OC)cccc2)CCC(C)C1;Z2639128025;15
Clc1ccc(CC2(O)CN(C(=O)CCSc3ncnc4[nH]cnc34)CC2)cc1;Z4053439943;15
O(C)C1C2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC3C2CC1C3;Z2094319551;15
FC(F)(F)c1nc(NCC2(O)c3c(cc(OC)cc3)CC2)nc2[nH]cnc12;Z3831246111;15
O=C(Cn1c2ncnc(N)c2nc1)N1CCC(Nc2cc(OC)cc(OC)c2)CC1;Z1382668032;15
O=C(CC(O)(COC)C)N1C[C@H]2C(Nc3nc4nc[nH]c4cn3)[C@H]2C1;m_274310____15937538____15944488____15870074;15
O=C(C)N1CC(O)(CNc2nc(C(=O)OC)c3nc[nH]c3n2)CCC1;m_274310____15938210____12185798____15870962;16
O=C(COC)N1CC(O)(CNc2ncnc3n(CC)cnc23)CCC1;m_274310____15938210____12170228____12359766;16
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N(CC4OCCC4)C4CCC(C)CC4)c3nc2)O1;Z2091377027;16
Clc1nc(NCC(O)(Cc2cc(OC)c(OC)cc2)C)c2n(C)cnc2n1;Z3718890872;16
O=C(NC1C2N(c3ncnc4nc[nH]c34)CCC(C2)CC1)C1(OC)CC1;m_274310____15937982____15941572____12649998;16
O=C(N(CCCn1c2ncnc(N)c2nc1)C)C1C(C)(c2c(OC)cccc2)C1;Z2801706050;17
O=C(NCC(O)CNc1ncnc2nc[nH]c12)CC1(COC)CC1;m_274310____14112866____12658402____12649998;17
O=C(NC1(CNc2nc3nc[nH]c3cn2)CCCC1)C(O)COC;m_274310____14112810____15940890____15870074;17
O=C(Nc1ncnc2[nH]cnc12)C(OC(=O)C1CN(c2c(OC)cccc2)C(=O)CC1)C;Z2148718536;17
O=C(CCn1c2ncnc(N)c2nc1)N1CC(C(C)c2cc(OC)ccc2)CC1;Z4087579625;17
O=C(CCn1c2ncnc(N)c2nc1)N1CC(Cc2cc(OC)cc(OC)c2)C1;Z2632520248;17
O=C(NC(CO)(Cc1c(OC)cccc1)C)c1ncnc2nc[nH]c12;s_22____12519984____12807966;17
O=C(NCC1N(c2ncnc3nc[nH]c23)CC2(C1)CC2)C(O)C1CCC1;m_274310____15937906____15939406____12649998;17
O=C(NCC(O)CNc1nc2n(C)cnc2cn1)CC1CC(=O)OC1;m_274310____14112866____12658184____15871032;17
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)c1ncnc2nc[nH]c12;s_22____16503380____12807966;18
O(C)c1c(OC)ccc(CCC2N(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCCC2)c1;Z1579636392;18
Clc1c(OC)cc2c(c1)CN(c1ncnc3n([C@H]4[C@H](O)[C@H](O)[C@@H](CO)O4)cnc13)CC2;Z2218181853;18
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(NC(CCN4CCCCCC4)(C)C)c3nc2)O1;Z2092507517;18
O=C(C(C)n1c2ncnc(N)c2nc1)N1CC(O)(C(OC(C)(C)C)=O)CCC1;Z2650302416;18
O(C)c1cc2c(C(O)(CNc3[nH]c4N(C)C(=O)NC(=O)c4n3)CC2)cc1;s_27____16503534____1324328;18
O(C)c1cc2C(O)(CNc3nc(O)c4n(C)cnc4n3)CCc2cc1;s_27____16503382____15341790;18
O=C(NC(Cc1cc(OC)ccc1)C1CC1)CCc1[nH]c2C(=O)NC(=O)N(C)c2n1;Z1518630501;18
O=C(NCCn1c2ncnc(N)c2nc1)C1ON=C(c2cc(OC)ccc2)C1;Z2719727592;18
O=C(NC1C(CO)CCN(c2nc3nc[nH]c3cn2)CC1)CCOC;m_274310____15937892____12170234____15870074;18
O=C(N(Cc1ccccc1)CC1(O)CCCC1)CCn1c2ncnc(N)c2nc1;Z2633641726;19
O(C)c1cc2c(C(CNc3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CCC2)cc1;Z2092430059;19
OC1(Cc2onc(C(C)C)n2)CN(c2ncnc3n(-c4ccccc4)cnc23)CCC1;Z2651559072;19
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(Nc4ccc(N5C6CC(C5)CC6)cc4)c3nc2)O1;Z2092928600;19
O(C)c1c(CC2CN(c3ncnc4n(CC)cnc34)CCC2)cccc1;Z1070447756;19
O=C(NCCn1c2ncnc(N)c2nc1)C(C(O)c1ccc(O)cc1)(C)C;Z2719728778;19
O=C(NC[C@H]1N(c2nc3nc[nH]c3cn2)CCC1)C1(O)CSCC1;m_274310____15937422____15940896____15870074;19
O=C(Cn1c2ncnc(N)c2nc1)N1CCC(c2onc(-c3c(OC)cccc3)n2)CC1;Z1870872196;19
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC(CCc5ccccc5)(C)CC4)c3nc2)O1;Z2091630677;20
O=C1N(C)C(=O)c2n(CCCN(CC3(O)c4c(cccc4)CC3)C)cnc2N1C;Z3650812002;20
Clc1nc(N2CC3(Oc4c(C(=O)C3)cccc4)CCC2)c2ncn(C)c2n1;Z3718907270;20
OC1C2N(c3ncnc4n(-c5ccccc5)cnc34)CC3C2CC1C3;Z2612995312;20
OC1C2N(c3nc(Nc4ccccc4)c4[nH]cnc4n3)CC3C2CC1C3;Z2612995504;20
O=C(C(COC)C)N1CCC(Nc2nc3nc[nH]c3cn2)(CO)CC1;m_274310____15937466____12658040____15870074;20
OC[C@H]1[C@H](C2CCOCC2)CN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C1;Z3833772933;20
O=C(Cn1c2ncnc(N)c2nc1)N1CC(O)(CNC(=O)[C@H]2[C@H](C)C2)C1;m_275592____14114974____14139992____15858030;20
O=C(NC1CN(c2nc3nc[nH]c3cn2)CC2(C1)CC2)C(O)(C)C1CC1;m_274310____15938082____15940274____15870074;20
