SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCC1(O)CC(Nc2nc3nc[nH]c3cn2)C1)C1CC(C)CCC1;m_274310____15938284____14116450____15870074;1
O=C(NC1[C@H]2[C@@H]1CN(c1nc3nc[nH]c3cn1)C2)C1(O)C2CC(C1)CC2;m_274310____14112724____15945086____15870074;2
Fc1ccc(C(=O)N2C(C(=O)OCc3n(C)c4C(=O)NC(=O)N(C)c4n3)CC(O)C2)cc1;Z1010401792;3
Fc1ccc(C(=O)N2C(C(=O)OCc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CC(O)C2)cc1;Z1655197446;3
Fc1c(CC2(O)CC3N(C(=O)Cn4c5ncnc(N)c5nc4)C(C2)CC3)ccc(F)c1;Z1550782188;4
Fc1c(CC2(O)CC3N(C(=O)CN(C)c4ncnc5nc[nH]c45)C(C2)CC3)ccc(F)c1;Z1550781850;4
Fc1c(CC2(O)CC3N(Cc4[nH]c5N(C)C(=O)N(C)C(=O)c5n4)C(C2)CC3)ccc(F)c1;Z1587892847;4
O=C(NCC(Nc1nc2nc[nH]c2cn1)CC)C1(O)C2CC(C1)CC2;m_274310____14112808____15945086____15870074;4
O=C(NC1C(O)CN(c2ncnc3nc[nH]c23)CC1)CC1C2C(C2)CC1;m_274310____14113432____14121256____12649998;5
O=C(NC1CC(Nc2ncnc3nc[nH]c23)C1)C(O)CC1CCCCC1;m_274310____14112710____15941232____12649998;6
Fc1c(CC(=O)N2C(C(=O)OCCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC(O)C2)cccc1;Z794108010;7
O=C(C(C)n1c2ncnc(N)c2nc1)N1C(C2COCCC2)CC(O)C1;Z2640873666;7
O=C(NC1C(C)C2N(c3nc4n(C)cnc4cn3)C(C1)CC2)C1(O)CC1;m_274310____15937616____15941446____15871032;7
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)C1C(C)(C)C2CC1CC2;m_274310____14112866____15940460____15870074;7
Fc1ccc(OCC(O)CNC(=O)CCn2c3ncnc(N)c3nc2)cc1;Z2633554068;7
O(C)c1cc(OC)cc(C2(O)CCN(c3ncnc4n(CC)cnc34)CC2)c1;Z1416577159;8
O(C)c1cc(OC)cc(C2(O)CCN(c3n(C)c4C(=O)NC(=O)N(C)c4n3)CC2)c1;Z1416576816;8
Clc1nc(NC2CC(O)(CNC(=O)C(OC)C)C2)c2[nH]cnc2n1;m_274310____15938284____12657992____15867404;8
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CCC1OC(C)CC1;m_274310____14112866____14119796____15870074;8
Clc1n(C)c2c(N3CCC4(C(=O)NCC(O)C4)CC3)nc(Cl)nc2n1;Z4026243458;8
Clc1nc(NCC(O)CNC(=O)CC2(O)CCC2)c2[nH]cnc2n1;m_274310____14112866____12658380____15867404;8
FC(F)(C(=O)NCC(O)CNc1ncnc2nc[nH]c12)C1(O)CCC1;m_274310____14112866____15942144____12649998;8
O=C(OCC)C(NC(=O)CCn1c2ncnc(N)c2nc1)CC1(OC)CCC1;Z2642287488;8
S(CC(C(=O)NCC1(O)CC(Nc2ncnc3nc[nH]c23)C1)C)C;m_274310____15938284____12658054____12649998;8
Clc1nc(NC2CC(O)(CNC(=O)C(C)C)C2)c2n(C)cnc2n1;m_274310____15938284____12657894____15870128;8
Clc1nc(NC2CC(O)(CNC(=O)CCC)C2)c2ncn(C)c2n1;m_274310____15938284____12657760____15870608;8
Clc1nc(N2CCC(O)(Cc3c(OC)cccc3)CC2)c2ncn(C)c2n1;Z3718884833;9
O=C1N(C)C(=O)c2n(CCN3C4CC(O)(Cc5ccccc5)CC3CC4)cnc2N1C;Z2170056409;9
O=C(N1C2CC(O)(Cc3ccccc3)CC1CC2)c1ncnc2nc[nH]c12;Z3550742181;9
O=C(NC1C2CN(c3nc4ncn(C)c4cn3)C(C2)CC1)C1(O)COC1;m_274310____15937726____15939740____15871096;9
O=C(N1CCC(O)(CNc2nc3n(C)cnc3cn2)CC1)C1C(CC)C1;m_274310____14113060____15940048____15871032;9
O=C(NCC(O)CNc1ncnc2nc[nH]c12)C1(O)C2CC(C1)CC2;m_274310____14112866____15945086____12649998;9
O=C(NCC(O)CNC(=O)C1C2CC(C1)CC2)c1ncnc2nc[nH]c12;m_275592____14114882____13187016____15863234;9
O=C(NC1C2(CN(c3nc4n(C)cnc4cn3)CCC2)CCCC1)CO;m_274310____15938156____15943396____15871032;9
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C5C6C(C(C4)CC5)CN(Cc4ccccc4)C6)c3nc2)O1;Z2523961968;10
O=C(NCC1(O)CC(Nc2nc3nc[nH]c3cn2)C1)C(CCOC)C;m_274310____15938284____14119722____15870074;10
FC(F)(F)c1nc(N2[C@@H]([C@H](O)CC2)c2c(OC)cccc2)nc2[nH]cnc12;Z3394231043;10
FC(F)(F)c1nc(N2C3CC(O)(Cc4ccccc4)CC2CC3)c2nc[nH]c2n1;Z2180015333;10
Clc1nc(N2[C@@H]([C@H](O)CC2)c2c(OC)cccc2)c2n(C)cnc2n1;Z3718928811;10
O=C(NC(C)C1(O)CN(c2ncnc3nc[nH]c23)C1)C1C2C(C1)CCC2;m_274310____15937924____15942410____12649998;10
O=C(NC[C@@H](Nc1ncnc2nc[nH]c12)CO)C1(C)ON=C(C2CC2)C1;m_274310____15937766____15945178____12649998;10
O=C(NC1CCC2(CN(c3nc4nc[nH]c4cn3)CC2)CC1)C1(O)CC1;m_274310____15938066____15941446____15870074;10
O=C(NCC12C(N(c3nc4nc[nH]c4cn3)CC1)CCCC2)[C@@H](O)C;m_274310____15937930____15943476____15870074;10
FC1(C(=O)NC2C(O)CN(c3ncnc4nc[nH]c34)CC2)COCC1;m_274310____14113432____14121614____12649998;10
O=C(NCCn1c2ncnc(N)c2nc1)CC1(O)CN(C(=O)C)CCC1;Z2719726491;11
O=C(NCCC1N(c2nc3nc[nH]c3cn2)CCCC1)C(O)COC;m_274310____15937814____15940890____15870074;11
O=C(NC1C(O)CN(C(=O)C2C3(C2)CC3)CC1)c1ncnc2nc[nH]c12;m_275592____14114572____15843004____14134174;11
O=C(NCC12OCC(Nc3nc4nc[nH]c4cn3)(C1)CC2)C(O)C1CC1;m_274310____15938212____15941824____15870074;11
