SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCC1(O)CC(Nc2ncnc3c2[nH]c(C)c3)C1)C1C(C)OCC1;m_274310____15938284____14120552____15869892;1
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)C12COC(C1)CC2;m_274310____15937766____15944796____15869892;1
O=C(NCC(CNc1ncnc2c1[nH]c(C)c2)C)C1(O)C2CC(C1)CC2;m_274310____14112832____15945086____15869892;1
O=C(NC1C(C)C2N(c3ncnc4c3[nH]c(C)c4)C(C1)CC2)C(CO)C;m_274310____15937616____15943438____15869892;1
O=C(NC1C2(C(Nc3ncnc4c3[nH]c(C)c4)C1)CCC2)C(O)COC;m_274310____14113314____15940890____15869892;2
O=C(NC(C)C1(O)CN(c2ncnc3c2[nH]c(C)c3)C1)CC1(O)CCC1;m_274310____15937924____12658380____15869892;2
FC(C(=O)N1CCC(O)(CNc2ncnc3c2[nH]c(C)c3)CC1)CC;m_274310____14113060____14118998____15869892;3
O=C(CC1C2(C(O)C1)CCC2)N1CC(Nc2ncnc3c2[nH]c(C)c3)C1;m_274310____15937386____15945284____15869892;3
O=C(NCC[C@@H](Nc1ncnc2c1[nH]c(C)c2)C)CC(O)(CCC)C;m_274310____14113064____15944758____15869892;4
O=C(NCCC1CC(Nc2ncnc3c2[nH]c(C)c3)C1)CC(O)CCC;m_274310____15937752____15942470____15869892;4
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)CCC1COCC1;m_274310____15937766____12658150____15869892;5
O=C(NC1C2(CCC1CNc1ncnc3c1[nH]c(C)c3)CCC2)[C@H](O)C;m_274310____15938174____15942712____15869892;5
O=C(NC1C2(N(c3ncnc4c3[nH]c(C)c4)CC1)CCC2)CC(O)CC;m_274310____15937660____15941200____15869892;6
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CCC1)CC1(O)COCC1;m_274310____14113008____15941282____15869892;6
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)C1CC(OCC)C1;m_274310____15937766____12658346____15869892;6
O=C(N1C2CC(N(C)c3ncnc4c3[nH]c(C)c4)CC1CC2)C1(O)CC1;m_274310____15937952____15941446____15869892;6
O=C(NCC12OCC(Nc3ncnc4c3[nH]c(C)c4)(C1)CC2)C(CC)C;m_274310____15938212____12657900____15869892;6
O=C(NCCC1(O)CCN(c2ncnc3c2[nH]c(C)c3)CC1)C(C)(C)C;m_274310____15938124____14115518____15869892;6
O=C(NC1C2C(N(c3ncnc4c3[nH]c(C)c4)C1)CCCC2)C1CCC1;m_274310____15938100____12185804____15869892;6
O=C(N1CC(O)(CNc2ncnc3c2[nH]c(C)c3)CCC1)[C@H]1COCC1;m_274310____15938210____14118150____15869892;7
