RowID,Molecule Name,SMILES
row0001,HD_MDS_ID_0001,CCCCCC1=CC(O)=C2C3C=C(C)CCC3C(C)(C)OC2=C1
row0002,HD_MDS_ID_0002,OC1=C(C[C@@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)[C@@H](C3=CC(O)=C(O)C(O)=C3)O4)C4=CC(O)=C1
row0003,HD_MDS_ID_0003,C/C=C1C(CC2[C@]\1(C)CCC3C2CCC4=CC(CC[C@]34C)=O)=O
row0004,HD_MDS_ID_0004,CCC1=CC=C(/C=C2C(NC(S\2)=S)=O)C=C1
row0005,HD_MDS_ID_0005,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
row0006,HD_MDS_ID_0006,ClC1=CC(N(CCCCCN(CC)CC)C(C=CC=C2)=C2O3)=C3C=C1
row0007,HD_MDS_ID_0007,OC1=C(Br)C=C(/C=C2C(C=C(I)C=C3)=C3NC/2=O)C=C1Br
row0008,HD_MDS_ID_0008,CC1(C(OC)=O)C2=C(C3=CC=CC=C3N2)CCN1C(CCl)=O
row0009,HD_MDS_ID_0009,CC1(C(OCC#C)=O)C2=C(C3=CC=CC=C3N2)CCN1C(CCl)=O
row0010,HD_MDS_ID_0010,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C/C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)\C)OC)OC(=O)N)\C)C)O)OC
row0011,HD_MDS_ID_0011,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)/C)OC)OC(=O)N)\C)C)O)OC
row0012,HD_MDS_ID_0012,C[C@]12CC[C@@](C[C@H]1C3=CC(=O)C4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O
row0013,HD_MDS_ID_0013,B(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN
row0014,HD_MDS_ID_0014,CC1=C(C)C2=C(C(C)=C1O)CCC(C)(CN3CCN(C4=NC(N5CCCC5)=NC(N6CCCC6)=C4)CC3)O2
row0015,HD_MDS_ID_0015,CC1=C(O)C(C)=NC=C1CO
row0016,HD_MDS_ID_0016,O=C1C2=C(OC(C3=CC=C(N(C)C)C=C3)=C1)C(O)=C(C=C2)O
row0017,HD_MDS_ID_0017,O=C(C1=C(C(O)=C(O)C=C1)O2)C=C2C3=CC=CC=C3
row0018,HD_MDS_ID_0018,NCCCN([C@@H](C(N1CC2=CC=CC=C2)=NC3=C(C=CC(Cl)=C3)C1=O)C(C)C)C(C4=CC=C(C)C=C4)=O
row0019,HD_MDS_ID_0019,C1C(CN1CC2=CC=C(C=C2)OCC3=CC(=C(C=C3)Cl)Cl)C(=O)O
row0020,HD_MDS_ID_0020,CC(O[C@@H](C[N+](C)(C)C)CC([O-])=O)=O
row0021,HD_MDS_ID_0021,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)CCl)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C
row0022,HD_MDS_ID_0022,O=[N+]([O-])C1=CC([N+]([O-])=O)=C(O)C=C1
row0023,HD_MDS_ID_0023,CC1=NN=C2N1C3=C(C(C4=CC=CC=C4)=NC2)C=C(Cl)C=C3
row0024,HD_MDS_ID_0024,CN(CC1)CCN1C2=CC=C(C3CC4N(C(OCC5=CC=C(F)C=C5)=O)CC3)C4=C2
row0025,HD_MDS_ID_0025,NC(C1)(C2)CC3CC2CC1C3
row0026,HD_MDS_ID_0026,CC(C)(C1=CC=C(/C=C/C(NC2=CC3=C(OCCO3)C=C2)=O)C=C1)C
row0027,HD_MDS_ID_0027,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
row0028,HD_MDS_ID_0028,CCN1CCCC1CNC(C2=CC(S(=O)(CC)=O)=C(N)C=C2OC)=O
row0029,HD_MDS_ID_0029,CN(CC/C=C1C2=CC=CC=C2CCC3=CC=CC=C3\1)C
row0030,HD_MDS_ID_0030,OC1=C(O)C=C(/C=C2C(C=C(Br)C=C3)=C3NC/2=O)C=C1Br
row0031,HD_MDS_ID_0031,OC1=CC(O2)=C(C(O)=C1)C(C3=CC=CC=C3)=CC2=O
row0032,HD_MDS_ID_0032,C=CCOC1=CC=CC2=NC(N3CCCC3)=CC=C21
row0033,HD_MDS_ID_0033,O=C1CCC(C=CC(OCCCCN2CCN(C3=C(Cl)C(Cl)=CC=C3)CC2)=C4)=C4N1
row0034,HD_MDS_ID_0034,CC1=CC=CC=C1O[C@@H](C2=CC=CC=C2)CCNC
row0035,HD_MDS_ID_0035,CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1(C4=CC(=O)[C@H]([C@@]4(CC3)C)C5=COC=C5)C)C
row0036,HD_MDS_ID_0036,C1COCCN1CC2=CN=C(C=C2)C3=C(NC4=C3C=C(C=C4)C#N)O
